5.200000000000000000e+01,1.000000000000000056e-01
7.000000000000000000e+01,1.199999999999999956e-01
7.600000000000000000e+01,1.199999999999999956e-01
7.600000000000000000e+01,1.700000000000000122e-01
1.000000000000000000e+02,1.300000000000000044e-01
1.000000000000000000e+02,1.300000000000000044e-01
1.000000000000000000e+02,1.700000000000000122e-01
1.000000000000000000e+02,1.499999999999999944e-01
1.010000000000000000e+02,1.700000000000000122e-01
1.050000000000000000e+02,1.799999999999999933e-01
1.300000000000000000e+02,2.300000000000000100e-01
1.500000000000000000e+02,2.700000000000000178e-01
2.250000000000000000e+02,4.199999999999999845e-01
2.800000000000000000e+02,5.699999999999999512e-01
4.420000000000000000e+02,1.469999999999999973e+00
1.002000000000000000e+03,3.319999999999999840e+00
2.392000000000000000e+03,9.220000000000000639e+00
